CarrotLambda,CarrotAbs,TomatoLambda,TomatoAbs,SpinachLambda,SpinachAbs
584.9976807,0.014840442,584.9976807,0.042609241,584.9976807,0.038024101
583.9942017,0.01499028,583.9942017,0.042546712,583.9942017,0.037977993
582.9905396,0.015307837,582.9905396,0.042633656,582.9905396,0.038251355
581.9866333,0.015292419,581.9866333,0.042840481,581.9866333,0.03819228
580.9824219,0.015273623,580.9824219,0.042633515,580.9824219,0.038656559
580.0151367,0.015284778,580.0151367,0.042448483,580.0151367,0.03877021
579.010437,0.015595735,579.010437,0.041952074,579.010437,0.038823254
578.0054932,0.015718887,578.0054932,0.041529685,578.0054932,0.038976535
577.0003052,0.015756249,577.0003052,0.041025732,577.0003052,0.038927294
575.994812,0.015819656,575.994812,0.041329861,575.994812,0.038908977
574.9891357,0.015776033,574.9891357,0.041293308,574.9891357,0.038954929
573.9831543,0.015688021,573.9831543,0.041290376,573.9831543,0.038749833
573.0142212,0.015534614,573.0142212,0.041448142,573.0142212,0.038741257
572.0078125,0.015200834,572.0078125,0.041469134,572.0078125,0.038857024
571.0010376,0.015286627,571.0010376,0.040980186,571.0010376,0.038623285
569.9941406,0.015780032,569.9941406,0.041000642,569.9941406,0.038776606
568.9868774,0.015729837,568.9868774,0.041252598,568.9868774,0.038598869
568.0167847,0.01603464,568.0167847,0.042038672,568.0167847,0.038311124
567.0089722,0.015775146,567.0089722,0.042527299,567.0089722,0.038336739
566.0010986,0.015413607,566.0010986,0.042831138,566.0010986,0.038250171
564.9928589,0.015593051,564.9928589,0.043456107,564.9928589,0.038340103
563.984436,0.015128083,563.984436,0.043733485,563.984436,0.037996076
563.0131226,0.015258797,563.0131226,0.044147965,563.0131226,0.037786152
562.0041504,0.015790716,562.0041504,0.044457186,562.0041504,0.037734166
560.9949951,0.016358284,560.9949951,0.044422776,560.9949951,0.037395697
559.9855957,0.016867654,559.9855957,0.044364139,559.9855957,0.037308779
559.0133057,0.017058928,559.0133057,0.044117361,559.0133057,0.037298173
558.003418,0.016959324,558.003418,0.043415625,558.003418,0.037161838
556.9932251,0.017150098,556.9932251,0.043253135,556.9932251,0.037257921
555.9828491,0.017068379,555.9828491,0.042852767,555.9828491,0.03711503
555.0095825,0.016933054,555.0095825,0.042685974,555.0095825,0.036849707
553.9987793,0.016628508,553.9987793,0.042452477,553.9987793,0.03688651
552.9876099,0.016423633,552.9876099,0.042732786,552.9876099,0.036896825
552.0137329,0.01607555,552.0137329,0.042097963,552.0137329,0.036939889
551.0021362,0.015992044,551.0021362,0.04191906,551.0021362,0.036936142
549.9903564,0.016131505,549.9903564,0.042287011,549.9903564,0.036895726
549.0157471,0.016136879,549.0157471,0.042870279,549.0157471,0.036835734
548.003418,0.016084146,548.003418,0.043830518,548.003418,0.037035473
546.9908447,0.015669316,546.9908447,0.044793602,546.9908447,0.03719737
546.015625,0.015687136,546.015625,0.045557104,546.015625,0.037429977
545.0025635,0.016043315,545.0025635,0.045636058,545.0025635,0.03745842
543.9893188,0.016436752,543.9893188,0.046191137,543.9893188,0.037610482
543.0133667,0.016595829,543.0133667,0.046814214,543.0133667,0.037813883
541.9995728,0.016374439,541.9995728,0.047006771,541.9995728,0.038283471
540.9856567,0.016057821,540.9856567,0.047481157,540.9856567,0.038872313
540.0089722,0.016183576,540.0089722,0.047560286,540.0089722,0.039161623
538.9946289,0.016215872,538.9946289,0.047926255,538.9946289,0.039482307
538.0175781,0.016016241,538.0175781,0.048515156,538.0175781,0.03987436
537.0026245,0.015091497,537.0026245,0.049281381,537.0026245,0.040530663
535.9874878,0.015045375,535.9874878,0.04996188,535.9874878,0.040868856
535.0097656,0.015466797,535.0097656,0.050473787,535.0097656,0.041117836
533.9941406,0.015305853,533.9941406,0.051559396,533.9941406,0.041596398
533.0159302,0.014629581,533.0159302,0.052761558,533.0159302,0.04194694
531.999939,0.014914859,531.999939,0.054241322,531.999939,0.041797627
530.9835815,0.015189145,530.9835815,0.055707604,530.9835815,0.041606855
530.0047607,0.01570485,530.0047607,0.05727306,530.0047607,0.041159499
528.9879761,0.015117871,528.9879761,0.059281264,528.9879761,0.041532107
528.008728,0.014940551,528.008728,0.061387759,528.008728,0.041556347
526.9915161,0.015297085,526.9915161,0.063679926,526.9915161,0.041332167
526.0117798,0.015305478,526.0117798,0.066102207,526.0117798,0.041384954
524.9941406,0.015612424,524.9941406,0.069256447,524.9941406,0.041382506
524.013916,0.016189728,524.013916,0.072799601,524.013916,0.041429918
522.9957886,0.016499667,522.9957886,0.077410206,522.9957886,0.041501373
522.0151978,0.016794544,522.0151978,0.08211825,522.0151978,0.041547544
520.9966431,0.017261598,520.9966431,0.087449521,520.9966431,0.041822653
520.015625,0.017787158,520.015625,0.094318643,520.015625,0.041896053
518.996582,0.017880533,518.996582,0.101049028,518.996582,0.042212803
518.0151367,0.017791176,518.0151367,0.108802855,518.0151367,0.042601045
516.9956665,0.017956849,516.9956665,0.117250651,516.9956665,0.043082703
516.0137329,0.018195326,516.0137329,0.126684889,516.0137329,0.043461315
514.9938354,0.018652216,514.9938354,0.136988193,514.9938354,0.043997347
514.0115356,0.019205354,514.0115356,0.148239031,514.0115356,0.044506598
512.9912109,0.019742269,512.9912109,0.160621882,512.9912109,0.045300078
512.0084229,0.020160412,512.0084229,0.172284991,512.0084229,0.046073485
510.9876404,0.020936269,510.9876404,0.184948012,510.9876404,0.047030568
510.0044861,0.021816092,510.0044861,0.195905015,510.0044861,0.04784501
508.9832458,0.022974519,508.9832458,0.206998915,508.9832458,0.049054571
507.9996338,0.024258522,507.9996338,0.218718216,507.9996338,0.050025284
507.0158081,0.025656357,507.0158081,0.226787671,507.0158081,0.050922051
505.9939575,0.027564626,505.9939575,0.234880373,505.9939575,0.052195981
505.0097351,0.029021503,505.0097351,0.240895227,505.0097351,0.053555872
503.9873657,0.030787621,503.9873657,0.246181503,503.9873657,0.054946154
503.0027771,0.032941859,503.0027771,0.24961561,503.0027771,0.056637224
502.0179443,0.03505823,502.0179443,0.250445366,502.0179443,0.058321312
500.9949341,0.037652262,500.9949341,0.248753607,500.9949341,0.060673654
500.0097046,0.040151477,500.0097046,0.245467976,500.0097046,0.062665232
498.9862976,0.043533474,498.9862976,0.240266576,498.9862976,0.065526254
498.0006104,0.04714597,498.0006104,0.234248281,498.0006104,0.068497315
497.01474,0.050550614,497.01474,0.227442324,497.01474,0.071709633
495.9906921,0.054699488,495.9906921,0.218676284,495.9906921,0.075253211
495.0043945,0.059175942,495.0043945,0.211396277,495.0043945,0.078800648
494.0178528,0.064763218,494.0178528,0.203661531,494.0178528,0.083180636
492.9931946,0.070291176,492.9931946,0.197879791,492.9931946,0.087192953
492.0062866,0.074310325,492.0062866,0.193551302,492.0062866,0.09161032
490.9812012,0.080328129,490.9812012,0.188593358,490.9812012,0.096487686
489.993927,0.086797871,489.993927,0.18505317,489.993927,0.101312377
489.0063477,0.093706489,489.0063477,0.182442188,489.0063477,0.107131615
488.0186462,0.098754764,488.0186462,0.182291463,488.0186462,0.112282142
486.9927673,0.104992777,486.9927673,0.183584422,486.9927673,0.117844567
486.0045776,0.11283838,486.0045776,0.186283469,486.0045776,0.124031775
485.0162964,0.119348466,485.0162964,0.190088749,485.0162964,0.130155072
483.9897461,0.123821899,483.9897461,0.195196599,483.9897461,0.136460409
483.0009766,0.129494801,483.0009766,0.201204106,483.0009766,0.142035171
482.0120544,0.135634109,482.0120544,0.20939146,482.0120544,0.148470208
480.9849243,0.140652984,480.9849243,0.217870772,480.9849243,0.154437974
479.9956055,0.145398036,479.9956055,0.227490738,479.9956055,0.160544589
479.0061035,0.149189681,479.0061035,0.237298682,479.0061035,0.16640307
478.0163574,0.152239084,478.0163574,0.245904654,478.0163574,0.17129676
476.9884033,0.155364126,476.9884033,0.255572528,476.9884033,0.17648989
475.998291,0.157456085,475.998291,0.263168812,475.998291,0.180523396
475.0079651,0.159065351,475.0079651,0.271152943,475.0079651,0.184436113
474.0174866,0.15997836,474.0174866,0.277984738,474.0174866,0.187407598
472.988678,0.160168096,472.988678,0.282220751,472.988678,0.189712256
471.9977722,0.15974465,471.9977722,0.285335183,471.9977722,0.191241741
471.0066833,0.158619523,471.0066833,0.286598921,471.0066833,0.191987142
470.0154419,0.157029554,470.0154419,0.286232859,470.0154419,0.192083523
468.9858398,0.155224115,468.9858398,0.283528984,468.9858398,0.191108957
467.9941711,0.153476179,467.9941711,0.27973634,467.9941711,0.19001998
467.0023499,0.151499599,467.0023499,0.273748666,467.0023499,0.188479811
466.0102844,0.1502015,466.0102844,0.26687479,466.0102844,0.186817408
465.0180664,0.149131954,465.0180664,0.25902617,465.0180664,0.185296968
463.9874878,0.148533821,463.9874878,0.249879271,463.9874878,0.18378374
462.9948425,0.148596287,462.9948425,0.241808683,462.9948425,0.182919368
462.0020752,0.149290651,462.0020752,0.233358234,462.0020752,0.182712406
461.0090942,0.150266141,461.0090942,0.225614294,461.0090942,0.182886273
460.0158691,0.151074559,460.0158691,0.220092222,460.0158691,0.183966726
458.9842834,0.153135404,458.9842834,0.214105487,458.9842834,0.185652599
457.9907532,0.155968189,457.9907532,0.209297806,457.9907532,0.188026294
456.9969482,0.158968553,456.9969482,0.205822051,456.9969482,0.190799758
456.0030212,0.161788479,456.0030212,0.203400493,456.0030212,0.194266349
455.0089111,0.165098324,455.0089111,0.202301428,455.0089111,0.198207423
454.0145874,0.168192238,454.0145874,0.202220887,454.0145874,0.202229008
452.9818726,0.1707519,452.9818726,0.202710882,452.9818726,0.206571519
451.9872131,0.173481524,451.9872131,0.204592899,451.9872131,0.210716784
450.9922791,0.17596589,450.9922791,0.206048101,450.9922791,0.214594498
449.9972839,0.178317294,449.9972839,0.208304316,449.9972839,0.218911305
449.0020142,0.179975465,449.0020142,0.210687652,449.0020142,0.222084656
448.0066223,0.181244016,448.0066223,0.212649435,448.0066223,0.22481367
447.0110168,0.1819942,447.0110168,0.214151606,447.0110168,0.227312416
446.0152283,0.182448655,446.0152283,0.215681344,446.0152283,0.229204655
444.980957,0.182247356,444.980957,0.216626957,444.980957,0.230875135
443.9848328,0.181805432,443.9848328,0.216835365,443.9848328,0.232456878
442.9884949,0.180708945,442.9884949,0.216293991,442.9884949,0.233942837
441.9920044,0.178968698,441.9920044,0.215009645,441.9920044,0.235146567
440.9953003,0.17619583,440.9953003,0.212862998,440.9953003,0.236717939
439.9984436,0.173490912,439.9984436,0.209629938,439.9984436,0.238289192
439.0013428,0.170061767,439.0013428,0.205455437,439.0013428,0.240428329
438.0041504,0.166817814,438.0041504,0.200514972,438.0041504,0.243060857
437.0067749,0.163479224,437.0067749,0.195668697,437.0067749,0.246061415
436.0091858,0.16000706,436.0091858,0.190761283,436.0091858,0.249758527
435.0113831,0.156757847,435.0113831,0.185288519,435.0113831,0.254050821
434.0134583,0.153891221,434.0134583,0.180282757,434.0134583,0.257952571
433.0153503,0.151766107,433.0153503,0.175481007,433.0153503,0.261439741
432.0170898,0.150342912,432.0170898,0.170866609,432.0170898,0.263680965
431.0185852,0.149484277,431.0185852,0.166176394,431.0185852,0.265186369
429.9815369,0.148820385,429.9815369,0.162533462,429.9815369,0.265713573
428.9827271,0.148920059,428.9827271,0.159591705,428.9827271,0.265606493
427.9837341,0.148867652,427.9837341,0.157173097,427.9837341,0.265076786
426.9844971,0.148918569,426.9844971,0.155414596,426.9844971,0.264128596
425.985199,0.14879708,425.985199,0.15471448,425.985199,0.263017207
424.9856873,0.148533493,424.9856873,0.154312089,424.9856873,0.261281759
423.9860229,0.147999555,423.9860229,0.15416798,423.9860229,0.259504467
422.9861145,0.147427812,422.9861145,0.153855369,422.9861145,0.25713101
421.986084,0.146549046,421.986084,0.153631419,421.986084,0.254826516
420.9859009,0.144885495,420.9859009,0.15292497,420.9859009,0.252780736
419.9854736,0.14271678,419.9854736,0.1519683,419.9854736,0.250362843
418.9849243,0.140420407,418.9849243,0.150546119,418.9849243,0.248108774
417.9842224,0.137672931,417.9842224,0.149179936,417.9842224,0.246235803
416.9833374,0.134810939,416.9833374,0.147686109,416.9833374,0.244686186
415.9822388,0.131759375,415.9822388,0.145164311,415.9822388,0.243099377
414.9810181,0.128653273,414.9810181,0.142012596,414.9810181,0.24135232
414.0181274,0.125859454,414.0181274,0.139780462,414.0181274,0.239840969
413.0166016,0.122411385,413.0166016,0.136681885,413.0166016,0.237807646
412.0148621,0.119505033,412.0148621,0.133870423,412.0148621,0.235557765
411.0129089,0.116250232,411.0129089,0.130272776,411.0129089,0.232850701
410.0108948,0.112871379,410.0108948,0.12640594,410.0108948,0.229634017
409.008667,0.109957904,409.008667,0.122019723,409.008667,0.225971818
408.0062561,0.107463218,408.0062561,0.118102498,408.0062561,0.221990913
407.0036926,0.105152689,407.0036926,0.114765592,407.0036926,0.217962056
406.0010071,0.10322538,406.0010071,0.112034507,406.0010071,0.2133829
404.9980469,0.101231322,404.9980469,0.109984011,404.9980469,0.209023148
403.9949951,0.099708475,403.9949951,0.108258665,403.9949951,0.205319852
402.9917908,0.098490499,402.9917908,0.106917724,402.9917908,0.201196492
401.9884033,0.097233504,401.9884033,0.105458133,401.9884033,0.197820887
400.9848633,0.095867567,400.9848633,0.103779338,400.9848633,0.19442299
399.9811401,0.094309665,399.9811401,0.102203853,399.9811401,0.190810964
399.0158691,0.093063578,399.0158691,0.100471534,399.0158691,0.187643677
398.0118103,0.0916842,398.0118103,0.099459738,398.0118103,0.184125543
397.0076294,0.090465888,397.0076294,0.098381072,397.0076294,0.181054503
396.0032654,0.088815145,396.0032654,0.097045414,396.0032654,0.177220687
394.9987488,0.086429358,394.9987488,0.096002936,394.9987488,0.174525693
393.9940796,0.084047057,393.9940796,0.095321901,393.9940796,0.171640948
392.9892273,0.082360372,392.9892273,0.093839489,392.9892273,0.168297574
391.9842529,0.079772666,391.9842529,0.092267826,391.9842529,0.166224748
391.0177307,0.077068545,391.0177307,0.091268912,391.0177307,0.163667589
390.0124207,0.075237975,390.0124207,0.090299502,390.0124207,0.160656214
389.006958,0.073495716,389.006958,0.088991955,389.006958,0.158286244
388.0013123,0.07156685,388.0013123,0.08760877,388.0013123,0.155778617
386.9955444,0.069596529,386.9955444,0.08685822,386.9955444,0.153962806
385.9895935,0.06786827,385.9895935,0.085903741,385.9895935,0.151630938
384.98349,0.066766344,384.98349,0.084743485,384.98349,0.149695456
384.0159302,0.065091595,384.0159302,0.083926328,384.0159302,0.148215264
383.0095215,0.063780017,383.0095215,0.083369158,383.0095215,0.146451116
382.0029602,0.062918447,382.0029602,0.083077319,382.0029602,0.145113066
380.9962463,0.062066846,380.9962463,0.082722194,380.9962463,0.143678352
379.9893494,0.061421037,379.9893494,0.081527881,379.9893494,0.142370835
378.9823303,0.061230745,378.9823303,0.080483638,378.9823303,0.140830457
378.0138855,0.060682882,378.0138855,0.079644345,378.0138855,0.140020564
377.0065308,0.060414311,377.0065308,0.079812549,377.0065308,0.139605463
375.999054,0.060383074,375.999054,0.079728998,375.999054,0.138268203
374.9914246,0.059914686,374.9914246,0.079997055,374.9914246,0.136837587
373.9836121,0.059537914,373.9836121,0.080668338,373.9836121,0.135860473
373.0144653,0.05927702,373.0144653,0.080791011,373.0144653,0.134219885
372.0063782,0.0582431,372.0063782,0.080723204,372.0063782,0.132802069
370.9981079,0.056789812,370.9981079,0.082166314,370.9981079,0.131262809
369.9897461,0.05446801,369.9897461,0.082208015,369.9897461,0.129880846
368.9812012,0.052818559,368.9812012,0.082210235,368.9812012,0.127163202
368.0112915,0.051011972,368.0112915,0.082876176,368.0112915,0.126269624
367.0024719,0.049315423,367.0024719,0.081982635,367.0024719,0.124706619
365.9934692,0.048224729,365.9934692,0.081665419,365.9934692,0.122659273
364.984375,0.047272369,364.984375,0.081442006,364.984375,0.121104635
364.0138855,0.046663187,364.0138855,0.081227854,364.0138855,0.119453117
363.0044556,0.045724399,363.0044556,0.080122277,363.0044556,0.117614612
361.9948425,0.043784935,361.9948425,0.080186352,361.9948425,0.117552206
360.9851685,0.043024909,360.9851685,0.078834824,360.9851685,0.11583519
360.0141296,0.04198093,360.0141296,0.077857718,360.0141296,0.114828311
359.0041199,0.042787686,359.0041199,0.077850968,359.0041199,0.113170512
357.9939575,0.042186413,357.9939575,0.077864125,357.9939575,0.112859666
356.9836731,0.04207566,356.9836731,0.077161483,356.9836731,0.111934312
356.0120544,0.042585455,356.0120544,0.076946273,356.0120544,0.11108955
355.0014954,0.043137535,355.0014954,0.077339642,355.0014954,0.110384323
353.9907532,0.043555681,353.9907532,0.077174746,353.9907532,0.110044308
353.0187683,0.044414144,353.0187683,0.077162005,353.0187683,0.10943421
352.0077515,0.045093458,352.0077515,0.077345021,352.0077515,0.108813003
350.9966125,0.045698371,350.9966125,0.077562504,350.9966125,0.108189322
349.9852905,0.045972094,349.9852905,0.077762932,349.9852905,0.107873224
